"","V1","V2"
"1","8201","8202"
"2","8201","8203"
"3","8201","8204"
"4","8201","8205"
"5","8201","8206"
"6","8201","8207"
"7","8201","8208"
"8","8201","8209"
"9","8201","8210"
"10","8201","8215"
"11","8201","8216"
"12","8201","8217"
"13","8201","8218"
"14","8201","8220"
"15","8201","8221"
"16","8201","8223"
"17","8201","8224"
"18","8201","8225"
"19","8201","8226"
"20","8201","8227"
"21","8201","8228"
"22","8201","8229"
"23","8201","8230"
"24","8201","8231"
"25","8201","8232"
"26","8201","8233"
"27","8201","8235"
"28","8201","8236"
"29","8201","8237"
"30","8201","8239"
"31","8201","8240"
"32","8201","8241"
"33","8201","8242"
"34","8201","8243"
"35","8201","8245"
"36","8202","8203"
"37","8202","8204"
"38","8202","8205"
"39","8202","8206"
"40","8202","8207"
"41","8202","8208"
"42","8202","8209"
"43","8202","8210"
"44","8202","8211"
"45","8202","8214"
"46","8202","8215"
"47","8202","8216"
"48","8202","8217"
"49","8202","8218"
"50","8202","8221"
"51","8202","8223"
"52","8202","8224"
"53","8202","8225"
"54","8202","8227"
"55","8202","8228"
"56","8202","8229"
"57","8202","8230"
"58","8202","8231"
"59","8202","8232"
"60","8202","8233"
"61","8202","8235"
"62","8202","8236"
"63","8202","8237"
"64","8202","8240"
"65","8202","8242"
"66","8202","8243"
"67","8202","8245"
"68","8203","8204"
"69","8203","8205"
"70","8203","8206"
"71","8203","8207"
"72","8203","8208"
"73","8203","8209"
"74","8203","8210"
"75","8203","8211"
"76","8203","8214"
"77","8203","8215"
"78","8203","8217"
"79","8203","8218"
"80","8203","8223"
"81","8203","8224"
"82","8203","8225"
"83","8203","8227"
"84","8203","8228"
"85","8203","8229"
"86","8203","8230"
"87","8203","8231"
"88","8203","8232"
"89","8203","8233"
"90","8203","8235"
"91","8203","8236"
"92","8203","8237"
"93","8203","8240"
"94","8203","8243"
"95","8203","8245"
"96","8204","8205"
"97","8204","8206"
"98","8204","8207"
"99","8204","8208"
"100","8204","8209"
"101","8204","8210"
"102","8204","8211"
"103","8204","8214"
"104","8204","8215"
"105","8204","8217"
"106","8204","8218"
"107","8204","8223"
"108","8204","8224"
"109","8204","8225"
"110","8204","8227"
"111","8204","8228"
"112","8204","8229"
"113","8204","8230"
"114","8204","8231"
"115","8204","8232"
"116","8204","8233"
"117","8204","8234"
"118","8204","8235"
"119","8204","8236"
"120","8204","8237"
"121","8204","8240"
"122","8204","8242"
"123","8204","8243"
"124","8204","8245"
"125","8205","8206"
"126","8205","8207"
"127","8205","8208"
"128","8205","8209"
"129","8205","8210"
"130","8205","8211"
"131","8205","8212"
"132","8205","8213"
"133","8205","8214"
"134","8205","8223"
"135","8205","8224"
"136","8205","8227"
"137","8205","8228"
"138","8205","8229"
"139","8205","8230"
"140","8205","8231"
"141","8205","8232"
"142","8205","8233"
"143","8205","8234"
"144","8205","8235"
"145","8205","8245"
"146","8206","8207"
"147","8206","8208"
"148","8206","8209"
"149","8206","8210"
"150","8206","8211"
"151","8206","8214"
"152","8206","8223"
"153","8206","8224"
"154","8206","8227"
"155","8206","8228"
"156","8206","8229"
"157","8206","8230"
"158","8206","8231"
"159","8206","8232"
"160","8206","8233"
"161","8206","8234"
"162","8206","8235"
"163","8207","8208"
"164","8207","8209"
"165","8207","8210"
"166","8207","8211"
"167","8207","8214"
"168","8207","8223"
"169","8207","8224"
"170","8207","8227"
"171","8207","8228"
"172","8207","8229"
"173","8207","8230"
"174","8207","8231"
"175","8207","8232"
"176","8207","8233"
"177","8207","8234"
"178","8207","8235"
"179","8208","8209"
"180","8208","8210"
"181","8208","8224"
"182","8208","8225"
"183","8208","8229"
"184","8208","8236"
"185","8209","8210"
"186","8209","8211"
"187","8209","8215"
"188","8209","8217"
"189","8209","8218"
"190","8209","8219"
"191","8209","8224"
"192","8209","8225"
"193","8209","8227"
"194","8209","8228"
"195","8209","8229"
"196","8209","8236"
"197","8209","8237"
"198","8209","8240"
"199","8209","8243"
"200","8209","8245"
"201","8210","8211"
"202","8210","8214"
"203","8210","8215"
"204","8210","8217"
"205","8210","8220"
"206","8210","8223"
"207","8210","8224"
"208","8210","8225"
"209","8210","8227"
"210","8210","8228"
"211","8210","8229"
"212","8210","8230"
"213","8210","8231"
"214","8210","8232"
"215","8210","8233"
"216","8210","8234"
"217","8210","8236"
"218","8210","8237"
"219","8210","8245"
"220","8211","8224"
"221","8211","8227"
"222","8211","8229"
"223","8211","8231"
"224","8211","8232"
"225","8211","8233"
"226","8211","8234"
"227","8212","8213"
"228","8212","8214"
"229","8212","8227"
"230","8212","8228"
"231","8212","8230"
"232","8212","8233"
"233","8212","8242"
"234","8213","8214"
"235","8213","8227"
"236","8213","8233"
"237","8214","8227"
"238","8214","8232"
"239","8214","8233"
"240","8214","8235"
"241","8215","8217"
"242","8215","8225"
"243","8215","8236"
"244","8215","8237"
"245","8215","8240"
"246","8215","8241"
"247","8215","8243"
"248","8215","8245"
"249","8216","8217"
"250","8216","8218"
"251","8216","8219"
"252","8216","8237"
"253","8216","8240"
"254","8216","8243"
"255","8216","8245"
"256","8217","8218"
"257","8217","8219"
"258","8217","8225"
"259","8217","8229"
"260","8217","8236"
"261","8217","8237"
"262","8217","8240"
"263","8217","8241"
"264","8217","8243"
"265","8217","8245"
"266","8218","8219"
"267","8218","8229"
"268","8218","8237"
"269","8218","8239"
"270","8218","8244"
"271","8218","8245"
"272","8219","8243"
"273","8220","8227"
"274","8220","8228"
"275","8220","8242"
"276","8222","8239"
"277","8222","8245"
"278","8223","8224"
"279","8223","8229"
"280","8223","8230"
"281","8223","8232"
"282","8223","8233"
"283","8224","8227"
"284","8224","8228"
"285","8224","8229"
"286","8224","8230"
"287","8224","8231"
"288","8224","8232"
"289","8224","8233"
"290","8224","8234"
"291","8225","8226"
"292","8225","8236"
"293","8225","8237"
"294","8225","8240"
"295","8225","8243"
"296","8225","8245"
"297","8226","8236"
"298","8226","8237"
"299","8227","8228"
"300","8227","8229"
"301","8227","8230"
"302","8227","8231"
"303","8227","8232"
"304","8227","8233"
"305","8227","8234"
"306","8227","8242"
"307","8228","8229"
"308","8228","8230"
"309","8228","8231"
"310","8228","8232"
"311","8228","8233"
"312","8228","8234"
"313","8228","8242"
"314","8229","8230"
"315","8229","8231"
"316","8229","8232"
"317","8229","8233"
"318","8229","8234"
"319","8229","8240"
"320","8229","8242"
"321","8229","8243"
"322","8230","8231"
"323","8230","8232"
"324","8230","8233"
"325","8230","8234"
"326","8231","8232"
"327","8231","8233"
"328","8231","8234"
"329","8231","8242"
"330","8232","8233"
"331","8232","8234"
"332","8232","8242"
"333","8234","8242"
"334","8235","8242"
"335","8236","8237"
"336","8236","8240"
"337","8236","8243"
"338","8236","8245"
"339","8237","8238"
"340","8237","8240"
"341","8237","8243"
"342","8237","8245"
"343","8239","8244"
"344","8239","8245"
"345","8240","8241"
"346","8240","8243"
"347","8240","8245"
"348","8241","8243"
"349","8241","8245"
"350","8243","8245"
