"","V1","V2"
"1","14401","14402"
"2","14401","14403"
"3","14401","14404"
"4","14401","14405"
"5","14401","14406"
"6","14401","14407"
"7","14401","14408"
"8","14401","14409"
"9","14401","14410"
"10","14401","14411"
"11","14401","14412"
"12","14401","14413"
"13","14401","14414"
"14","14401","14416"
"15","14401","14417"
"16","14401","14420"
"17","14401","14421"
"18","14401","14422"
"19","14401","14423"
"20","14401","14424"
"21","14401","14425"
"22","14401","14436"
"23","14401","14438"
"24","14401","14439"
"25","14401","14442"
"26","14401","14443"
"27","14402","14403"
"28","14402","14404"
"29","14402","14405"
"30","14402","14406"
"31","14402","14407"
"32","14402","14408"
"33","14402","14409"
"34","14402","14411"
"35","14402","14412"
"36","14402","14413"
"37","14402","14417"
"38","14402","14420"
"39","14402","14421"
"40","14402","14422"
"41","14402","14423"
"42","14402","14424"
"43","14402","14425"
"44","14403","14404"
"45","14403","14405"
"46","14403","14406"
"47","14403","14407"
"48","14403","14408"
"49","14403","14409"
"50","14403","14411"
"51","14403","14412"
"52","14403","14413"
"53","14403","14417"
"54","14403","14420"
"55","14403","14421"
"56","14403","14422"
"57","14403","14423"
"58","14403","14424"
"59","14403","14425"
"60","14404","14405"
"61","14404","14406"
"62","14404","14407"
"63","14404","14408"
"64","14404","14409"
"65","14404","14411"
"66","14404","14412"
"67","14404","14413"
"68","14404","14414"
"69","14404","14416"
"70","14404","14417"
"71","14404","14420"
"72","14404","14421"
"73","14404","14422"
"74","14404","14423"
"75","14404","14424"
"76","14404","14425"
"77","14405","14406"
"78","14405","14407"
"79","14405","14408"
"80","14405","14409"
"81","14405","14411"
"82","14405","14412"
"83","14405","14413"
"84","14405","14414"
"85","14405","14416"
"86","14405","14417"
"87","14405","14420"
"88","14405","14421"
"89","14405","14422"
"90","14405","14423"
"91","14405","14424"
"92","14405","14425"
"93","14406","14407"
"94","14406","14408"
"95","14406","14409"
"96","14406","14411"
"97","14406","14412"
"98","14406","14413"
"99","14406","14414"
"100","14406","14417"
"101","14406","14420"
"102","14406","14421"
"103","14406","14422"
"104","14406","14423"
"105","14406","14424"
"106","14406","14425"
"107","14407","14408"
"108","14407","14409"
"109","14407","14411"
"110","14407","14412"
"111","14407","14413"
"112","14407","14414"
"113","14407","14417"
"114","14407","14420"
"115","14407","14421"
"116","14407","14422"
"117","14407","14423"
"118","14407","14424"
"119","14407","14425"
"120","14408","14409"
"121","14408","14411"
"122","14408","14412"
"123","14408","14413"
"124","14408","14414"
"125","14408","14420"
"126","14408","14421"
"127","14408","14422"
"128","14408","14423"
"129","14408","14424"
"130","14408","14425"
"131","14409","14411"
"132","14409","14412"
"133","14409","14413"
"134","14409","14414"
"135","14409","14417"
"136","14409","14420"
"137","14409","14421"
"138","14409","14422"
"139","14409","14423"
"140","14409","14424"
"141","14409","14425"
"142","14409","14438"
"143","14410","14442"
"144","14410","14443"
"145","14411","14412"
"146","14411","14413"
"147","14411","14416"
"148","14411","14417"
"149","14411","14420"
"150","14411","14421"
"151","14411","14422"
"152","14411","14423"
"153","14411","14424"
"154","14411","14425"
"155","14412","14413"
"156","14412","14416"
"157","14412","14417"
"158","14412","14420"
"159","14412","14421"
"160","14412","14422"
"161","14412","14423"
"162","14412","14424"
"163","14412","14425"
"164","14413","14416"
"165","14413","14420"
"166","14413","14421"
"167","14413","14422"
"168","14413","14423"
"169","14413","14424"
"170","14413","14425"
"171","14414","14415"
"172","14414","14416"
"173","14414","14418"
"174","14414","14438"
"175","14414","14439"
"176","14414","14442"
"177","14414","14443"
"178","14414","14444"
"179","14415","14442"
"180","14415","14443"
"181","14416","14417"
"182","14416","14418"
"183","14416","14419"
"184","14416","14438"
"185","14416","14439"
"186","14416","14442"
"187","14416","14443"
"188","14417","14420"
"189","14417","14421"
"190","14417","14422"
"191","14417","14423"
"192","14417","14424"
"193","14417","14425"
"194","14418","14419"
"195","14418","14438"
"196","14418","14439"
"197","14418","14442"
"198","14418","14443"
"199","14419","14436"
"200","14420","14421"
"201","14420","14422"
"202","14420","14423"
"203","14420","14424"
"204","14420","14425"
"205","14421","14422"
"206","14421","14423"
"207","14421","14424"
"208","14421","14425"
"209","14422","14423"
"210","14422","14424"
"211","14422","14425"
"212","14423","14424"
"213","14423","14425"
"214","14424","14425"
"215","14426","14427"
"216","14426","14430"
"217","14426","14431"
"218","14427","14430"
"219","14427","14431"
"220","14428","14429"
"221","14430","14431"
"222","14432","14433"
"223","14432","14434"
"224","14432","14435"
"225","14432","14436"
"226","14433","14434"
"227","14433","14435"
"228","14433","14436"
"229","14434","14435"
"230","14434","14436"
"231","14435","14436"
"232","14438","14439"
"233","14438","14440"
"234","14438","14441"
"235","14438","14442"
"236","14438","14443"
"237","14438","14444"
"238","14439","14440"
"239","14439","14441"
"240","14439","14442"
"241","14439","14443"
"242","14439","14444"
"243","14440","14441"
"244","14440","14444"
"245","14441","14444"
"246","14442","14443"
"247","14444","14445"
