"","V1","V2"
"1","14001","14002"
"2","14001","14004"
"3","14001","14006"
"4","14001","14009"
"5","14001","14011"
"6","14001","14015"
"7","14001","14016"
"8","14001","14019"
"9","14001","14028"
"10","14001","14031"
"11","14001","14036"
"12","14001","14043"
"13","14001","14044"
"14","14001","14045"
"15","14002","14003"
"16","14002","14004"
"17","14002","14007"
"18","14002","14008"
"19","14002","14009"
"20","14002","14010"
"21","14002","14011"
"22","14002","14014"
"23","14002","14015"
"24","14002","14016"
"25","14002","14028"
"26","14002","14031"
"27","14002","14034"
"28","14002","14035"
"29","14002","14036"
"30","14002","14037"
"31","14002","14039"
"32","14002","14041"
"33","14002","14043"
"34","14002","14044"
"35","14002","14045"
"36","14003","14009"
"37","14003","14011"
"38","14003","14016"
"39","14003","14028"
"40","14003","14031"
"41","14003","14035"
"42","14003","14036"
"43","14003","14037"
"44","14003","14039"
"45","14003","14041"
"46","14003","14043"
"47","14003","14044"
"48","14003","14045"
"49","14004","14005"
"50","14004","14029"
"51","14004","14030"
"52","14004","14032"
"53","14004","14033"
"54","14005","14016"
"55","14005","14029"
"56","14005","14030"
"57","14005","14032"
"58","14005","14033"
"59","14005","14045"
"60","14006","14007"
"61","14006","14008"
"62","14006","14009"
"63","14006","14010"
"64","14006","14011"
"65","14006","14016"
"66","14006","14028"
"67","14006","14031"
"68","14006","14033"
"69","14006","14034"
"70","14006","14036"
"71","14006","14044"
"72","14006","14045"
"73","14007","14008"
"74","14007","14009"
"75","14007","14010"
"76","14007","14011"
"77","14007","14015"
"78","14007","14016"
"79","14007","14028"
"80","14007","14031"
"81","14007","14033"
"82","14007","14034"
"83","14007","14036"
"84","14007","14044"
"85","14007","14045"
"86","14008","14009"
"87","14008","14010"
"88","14008","14011"
"89","14008","14014"
"90","14008","14015"
"91","14008","14016"
"92","14008","14028"
"93","14008","14031"
"94","14008","14034"
"95","14008","14036"
"96","14008","14044"
"97","14008","14045"
"98","14009","14010"
"99","14009","14011"
"100","14009","14014"
"101","14009","14015"
"102","14009","14016"
"103","14009","14019"
"104","14009","14028"
"105","14009","14031"
"106","14009","14034"
"107","14009","14035"
"108","14009","14036"
"109","14009","14039"
"110","14009","14041"
"111","14009","14044"
"112","14009","14045"
"113","14010","14011"
"114","14010","14014"
"115","14010","14016"
"116","14010","14028"
"117","14010","14031"
"118","14010","14034"
"119","14010","14039"
"120","14010","14044"
"121","14010","14045"
"122","14011","14014"
"123","14011","14015"
"124","14011","14016"
"125","14011","14019"
"126","14011","14028"
"127","14011","14031"
"128","14011","14033"
"129","14011","14034"
"130","14011","14036"
"131","14011","14037"
"132","14011","14039"
"133","14011","14041"
"134","14011","14043"
"135","14011","14044"
"136","14011","14045"
"137","14012","14013"
"138","14012","14015"
"139","14012","14016"
"140","14012","14032"
"141","14012","14045"
"142","14013","14015"
"143","14013","14016"
"144","14013","14029"
"145","14013","14032"
"146","14013","14033"
"147","14013","14045"
"148","14014","14016"
"149","14014","14028"
"150","14014","14031"
"151","14014","14033"
"152","14014","14034"
"153","14014","14039"
"154","14014","14044"
"155","14014","14045"
"156","14015","14016"
"157","14015","14028"
"158","14015","14029"
"159","14015","14031"
"160","14015","14032"
"161","14015","14033"
"162","14015","14044"
"163","14015","14045"
"164","14016","14017"
"165","14016","14018"
"166","14016","14019"
"167","14016","14028"
"168","14016","14031"
"169","14016","14032"
"170","14016","14033"
"171","14016","14034"
"172","14016","14035"
"173","14016","14036"
"174","14016","14037"
"175","14016","14039"
"176","14016","14041"
"177","14016","14043"
"178","14016","14044"
"179","14016","14045"
"180","14017","14018"
"181","14017","14019"
"182","14017","14020"
"183","14017","14021"
"184","14017","14023"
"185","14017","14025"
"186","14017","14027"
"187","14017","14028"
"188","14017","14040"
"189","14017","14042"
"190","14017","14045"
"191","14018","14019"
"192","14018","14020"
"193","14018","14021"
"194","14018","14022"
"195","14018","14028"
"196","14018","14040"
"197","14018","14042"
"198","14018","14045"
"199","14019","14020"
"200","14019","14021"
"201","14019","14022"
"202","14019","14023"
"203","14019","14024"
"204","14019","14025"
"205","14019","14026"
"206","14019","14027"
"207","14019","14038"
"208","14019","14042"
"209","14019","14045"
"210","14020","14021"
"211","14020","14022"
"212","14020","14025"
"213","14020","14026"
"214","14020","14042"
"215","14021","14022"
"216","14021","14023"
"217","14021","14024"
"218","14021","14025"
"219","14021","14027"
"220","14021","14038"
"221","14021","14040"
"222","14022","14024"
"223","14022","14025"
"224","14022","14026"
"225","14022","14027"
"226","14022","14038"
"227","14023","14025"
"228","14024","14027"
"229","14024","14038"
"230","14025","14040"
"231","14026","14042"
"232","14027","14038"
"233","14028","14031"
"234","14028","14033"
"235","14028","14034"
"236","14028","14035"
"237","14028","14036"
"238","14028","14037"
"239","14028","14039"
"240","14028","14041"
"241","14028","14043"
"242","14028","14044"
"243","14028","14045"
"244","14029","14030"
"245","14029","14032"
"246","14029","14033"
"247","14030","14032"
"248","14030","14033"
"249","14031","14032"
"250","14031","14034"
"251","14031","14035"
"252","14031","14036"
"253","14031","14037"
"254","14031","14039"
"255","14031","14041"
"256","14031","14043"
"257","14031","14044"
"258","14031","14045"
"259","14032","14033"
"260","14032","14045"
"261","14033","14045"
"262","14034","14045"
"263","14035","14036"
"264","14035","14037"
"265","14035","14039"
"266","14035","14041"
"267","14035","14043"
"268","14035","14044"
"269","14035","14045"
"270","14036","14037"
"271","14036","14039"
"272","14036","14041"
"273","14036","14043"
"274","14036","14044"
"275","14036","14045"
"276","14037","14039"
"277","14037","14041"
"278","14037","14043"
"279","14037","14044"
"280","14037","14045"
"281","14039","14041"
"282","14039","14043"
"283","14039","14044"
"284","14039","14045"
"285","14041","14043"
"286","14041","14044"
"287","14041","14045"
"288","14043","14044"
"289","14043","14045"
"290","14044","14045"
