"","V1","V2"
"1","9701","9702"
"2","9701","9703"
"3","9701","9704"
"4","9701","9705"
"5","9701","9706"
"6","9701","9707"
"7","9701","9708"
"8","9701","9709"
"9","9701","9710"
"10","9701","9711"
"11","9701","9712"
"12","9701","9713"
"13","9701","9714"
"14","9701","9715"
"15","9701","9716"
"16","9701","9717"
"17","9701","9718"
"18","9701","9719"
"19","9701","9721"
"20","9701","9722"
"21","9701","9723"
"22","9701","9724"
"23","9701","9725"
"24","9701","9728"
"25","9701","9729"
"26","9701","9730"
"27","9701","9731"
"28","9701","9732"
"29","9701","9733"
"30","9701","9734"
"31","9701","9739"
"32","9701","9743"
"33","9701","9744"
"34","9701","9745"
"35","9702","9703"
"36","9702","9704"
"37","9702","9705"
"38","9702","9707"
"39","9702","9709"
"40","9702","9710"
"41","9702","9711"
"42","9702","9712"
"43","9702","9713"
"44","9702","9714"
"45","9702","9715"
"46","9702","9716"
"47","9702","9717"
"48","9702","9718"
"49","9702","9719"
"50","9702","9721"
"51","9702","9722"
"52","9702","9723"
"53","9702","9724"
"54","9702","9725"
"55","9702","9726"
"56","9702","9727"
"57","9702","9728"
"58","9702","9729"
"59","9702","9730"
"60","9702","9731"
"61","9702","9732"
"62","9702","9733"
"63","9702","9734"
"64","9702","9736"
"65","9702","9737"
"66","9702","9738"
"67","9702","9739"
"68","9702","9743"
"69","9702","9744"
"70","9703","9706"
"71","9703","9707"
"72","9703","9708"
"73","9703","9709"
"74","9703","9710"
"75","9703","9711"
"76","9703","9712"
"77","9703","9714"
"78","9703","9716"
"79","9703","9717"
"80","9703","9718"
"81","9703","9719"
"82","9703","9720"
"83","9703","9721"
"84","9703","9722"
"85","9703","9723"
"86","9703","9724"
"87","9703","9725"
"88","9703","9729"
"89","9703","9730"
"90","9703","9731"
"91","9703","9732"
"92","9703","9733"
"93","9703","9734"
"94","9703","9736"
"95","9703","9739"
"96","9703","9741"
"97","9703","9745"
"98","9704","9705"
"99","9704","9710"
"100","9704","9711"
"101","9704","9712"
"102","9704","9713"
"103","9704","9714"
"104","9704","9715"
"105","9704","9716"
"106","9704","9717"
"107","9704","9718"
"108","9705","9710"
"109","9705","9711"
"110","9705","9712"
"111","9705","9713"
"112","9705","9714"
"113","9705","9715"
"114","9705","9716"
"115","9705","9717"
"116","9705","9718"
"117","9705","9721"
"118","9705","9731"
"119","9705","9732"
"120","9706","9708"
"121","9706","9710"
"122","9706","9717"
"123","9706","9718"
"124","9706","9722"
"125","9706","9733"
"126","9706","9734"
"127","9706","9745"
"128","9707","9708"
"129","9707","9710"
"130","9707","9711"
"131","9707","9714"
"132","9707","9722"
"133","9707","9723"
"134","9707","9724"
"135","9707","9726"
"136","9707","9727"
"137","9707","9728"
"138","9707","9729"
"139","9707","9730"
"140","9707","9739"
"141","9707","9740"
"142","9707","9742"
"143","9708","9710"
"144","9708","9711"
"145","9708","9714"
"146","9708","9716"
"147","9708","9717"
"148","9708","9718"
"149","9708","9719"
"150","9708","9720"
"151","9708","9721"
"152","9708","9722"
"153","9708","9723"
"154","9708","9730"
"155","9708","9733"
"156","9708","9734"
"157","9708","9739"
"158","9708","9745"
"159","9709","9714"
"160","9709","9716"
"161","9709","9717"
"162","9709","9719"
"163","9709","9720"
"164","9709","9721"
"165","9709","9722"
"166","9709","9723"
"167","9709","9733"
"168","9709","9734"
"169","9709","9745"
"170","9710","9711"
"171","9710","9712"
"172","9710","9713"
"173","9710","9714"
"174","9710","9715"
"175","9710","9716"
"176","9710","9717"
"177","9710","9718"
"178","9710","9722"
"179","9710","9723"
"180","9710","9724"
"181","9710","9725"
"182","9710","9728"
"183","9710","9729"
"184","9710","9730"
"185","9710","9731"
"186","9710","9732"
"187","9710","9733"
"188","9710","9734"
"189","9710","9739"
"190","9710","9743"
"191","9710","9744"
"192","9711","9712"
"193","9711","9713"
"194","9711","9714"
"195","9711","9715"
"196","9711","9716"
"197","9711","9717"
"198","9711","9718"
"199","9711","9722"
"200","9711","9723"
"201","9711","9724"
"202","9711","9725"
"203","9711","9728"
"204","9711","9729"
"205","9711","9730"
"206","9711","9731"
"207","9711","9732"
"208","9711","9739"
"209","9711","9743"
"210","9711","9744"
"211","9712","9713"
"212","9712","9714"
"213","9712","9715"
"214","9712","9716"
"215","9712","9717"
"216","9712","9718"
"217","9712","9720"
"218","9712","9721"
"219","9712","9733"
"220","9712","9744"
"221","9713","9714"
"222","9713","9715"
"223","9713","9716"
"224","9713","9717"
"225","9713","9718"
"226","9714","9715"
"227","9714","9716"
"228","9714","9717"
"229","9714","9718"
"230","9714","9721"
"231","9714","9722"
"232","9714","9723"
"233","9714","9733"
"234","9714","9734"
"235","9715","9716"
"236","9715","9717"
"237","9715","9718"
"238","9716","9717"
"239","9716","9718"
"240","9716","9719"
"241","9716","9721"
"242","9716","9722"
"243","9716","9723"
"244","9716","9724"
"245","9716","9725"
"246","9716","9737"
"247","9716","9739"
"248","9716","9741"
"249","9717","9718"
"250","9717","9719"
"251","9717","9721"
"252","9717","9722"
"253","9717","9723"
"254","9718","9721"
"255","9719","9720"
"256","9719","9721"
"257","9719","9722"
"258","9719","9723"
"259","9719","9733"
"260","9719","9734"
"261","9720","9721"
"262","9720","9722"
"263","9720","9733"
"264","9720","9734"
"265","9720","9745"
"266","9721","9722"
"267","9721","9723"
"268","9721","9731"
"269","9721","9732"
"270","9721","9733"
"271","9721","9734"
"272","9721","9739"
"273","9721","9745"
"274","9722","9723"
