"","V1","V2"
"1","12001","12002"
"2","12001","12003"
"3","12001","12004"
"4","12001","12005"
"5","12001","12006"
"6","12001","12007"
"7","12001","12008"
"8","12001","12009"
"9","12001","12011"
"10","12001","12014"
"11","12001","12016"
"12","12001","12017"
"13","12001","12018"
"14","12001","12019"
"15","12001","12020"
"16","12001","12021"
"17","12001","12022"
"18","12001","12023"
"19","12001","12024"
"20","12001","12025"
"21","12001","12027"
"22","12001","12028"
"23","12001","12029"
"24","12001","12030"
"25","12001","12031"
"26","12001","12033"
"27","12001","12034"
"28","12001","12035"
"29","12001","12036"
"30","12001","12037"
"31","12001","12038"
"32","12001","12039"
"33","12001","12040"
"34","12001","12043"
"35","12001","12045"
"36","12002","12003"
"37","12002","12004"
"38","12002","12005"
"39","12002","12006"
"40","12002","12007"
"41","12002","12008"
"42","12002","12009"
"43","12002","12012"
"44","12002","12014"
"45","12002","12036"
"46","12003","12004"
"47","12003","12005"
"48","12003","12006"
"49","12003","12007"
"50","12003","12008"
"51","12003","12009"
"52","12003","12011"
"53","12003","12012"
"54","12003","12014"
"55","12003","12017"
"56","12003","12018"
"57","12003","12019"
"58","12003","12025"
"59","12003","12036"
"60","12004","12005"
"61","12004","12006"
"62","12004","12007"
"63","12004","12008"
"64","12004","12009"
"65","12004","12011"
"66","12004","12012"
"67","12004","12014"
"68","12004","12017"
"69","12004","12018"
"70","12004","12019"
"71","12004","12025"
"72","12004","12036"
"73","12004","12042"
"74","12005","12006"
"75","12005","12007"
"76","12005","12008"
"77","12005","12009"
"78","12005","12010"
"79","12005","12011"
"80","12005","12012"
"81","12005","12014"
"82","12005","12018"
"83","12005","12019"
"84","12005","12036"
"85","12006","12007"
"86","12006","12008"
"87","12006","12009"
"88","12006","12010"
"89","12006","12011"
"90","12006","12012"
"91","12006","12014"
"92","12006","12018"
"93","12006","12019"
"94","12006","12025"
"95","12006","12036"
"96","12007","12008"
"97","12007","12009"
"98","12007","12011"
"99","12007","12012"
"100","12007","12014"
"101","12007","12018"
"102","12007","12019"
"103","12007","12025"
"104","12007","12036"
"105","12008","12009"
"106","12008","12011"
"107","12008","12012"
"108","12008","12036"
"109","12009","12036"
"110","12010","12011"
"111","12011","12036"
"112","12012","12014"
"113","12012","12036"
"114","12013","12022"
"115","12013","12023"
"116","12013","12024"
"117","12013","12031"
"118","12013","12035"
"119","12013","12043"
"120","12013","12045"
"121","12017","12024"
"122","12017","12031"
"123","12017","12032"
"124","12017","12035"
"125","12017","12036"
"126","12017","12037"
"127","12017","12039"
"128","12017","12045"
"129","12018","12019"
"130","12018","12025"
"131","12018","12029"
"132","12018","12035"
"133","12018","12036"
"134","12018","12037"
"135","12019","12025"
"136","12019","12036"
"137","12020","12021"
"138","12020","12030"
"139","12020","12031"
"140","12020","12037"
"141","12020","12038"
"142","12021","12030"
"143","12021","12031"
"144","12021","12033"
"145","12021","12034"
"146","12021","12045"
"147","12022","12024"
"148","12022","12043"
"149","12023","12024"
"150","12023","12035"
"151","12023","12036"
"152","12023","12043"
"153","12024","12031"
"154","12024","12035"
"155","12024","12036"
"156","12024","12037"
"157","12024","12043"
"158","12024","12045"
"159","12025","12035"
"160","12025","12036"
"161","12025","12037"
"162","12025","12038"
"163","12027","12028"
"164","12029","12035"
"165","12029","12036"
"166","12030","12031"
"167","12030","12033"
"168","12030","12034"
"169","12030","12037"
"170","12030","12038"
"171","12031","12032"
"172","12031","12033"
"173","12031","12034"
"174","12031","12035"
"175","12031","12037"
"176","12031","12039"
"177","12031","12044"
"178","12031","12045"
"179","12032","12033"
"180","12032","12034"
"181","12032","12039"
"182","12033","12034"
"183","12033","12036"
"184","12034","12036"
"185","12035","12036"
"186","12035","12037"
"187","12035","12038"
"188","12035","12039"
"189","12035","12040"
"190","12035","12041"
"191","12035","12045"
"192","12036","12037"
"193","12036","12038"
"194","12037","12038"
"195","12037","12039"
"196","12038","12039"
"197","12039","12040"
"198","12039","12045"
"199","12044","12045"
