"","V1","V2"
"1","10801","10802"
"2","10801","10803"
"3","10801","10804"
"4","10801","10805"
"5","10801","10806"
"6","10801","10807"
"7","10801","10808"
"8","10801","10811"
"9","10801","10812"
"10","10801","10813"
"11","10801","10814"
"12","10801","10815"
"13","10801","10816"
"14","10801","10818"
"15","10801","10821"
"16","10801","10829"
"17","10801","10836"
"18","10802","10803"
"19","10802","10804"
"20","10802","10805"
"21","10802","10806"
"22","10802","10807"
"23","10802","10808"
"24","10802","10811"
"25","10802","10812"
"26","10802","10813"
"27","10802","10814"
"28","10802","10815"
"29","10802","10816"
"30","10802","10818"
"31","10802","10821"
"32","10802","10836"
"33","10803","10804"
"34","10803","10805"
"35","10803","10806"
"36","10803","10807"
"37","10803","10808"
"38","10803","10811"
"39","10803","10812"
"40","10803","10813"
"41","10803","10814"
"42","10803","10815"
"43","10803","10816"
"44","10803","10818"
"45","10803","10836"
"46","10804","10805"
"47","10804","10806"
"48","10804","10807"
"49","10804","10808"
"50","10804","10811"
"51","10804","10812"
"52","10804","10813"
"53","10804","10814"
"54","10804","10815"
"55","10804","10816"
"56","10804","10818"
"57","10804","10829"
"58","10804","10836"
"59","10805","10806"
"60","10805","10811"
"61","10805","10812"
"62","10805","10813"
"63","10805","10814"
"64","10805","10815"
"65","10805","10816"
"66","10805","10818"
"67","10805","10836"
"68","10806","10807"
"69","10806","10808"
"70","10806","10811"
"71","10806","10812"
"72","10806","10813"
"73","10806","10814"
"74","10806","10815"
"75","10806","10816"
"76","10806","10818"
"77","10806","10836"
"78","10807","10815"
"79","10807","10816"
"80","10809","10810"
"81","10811","10812"
"82","10811","10813"
"83","10811","10814"
"84","10811","10815"
"85","10811","10816"
"86","10811","10818"
"87","10812","10813"
"88","10812","10814"
"89","10812","10815"
"90","10812","10816"
"91","10812","10818"
"92","10813","10814"
"93","10813","10815"
"94","10813","10816"
"95","10813","10818"
"96","10814","10815"
"97","10814","10816"
"98","10814","10818"
"99","10815","10816"
"100","10815","10818"
"101","10815","10836"
"102","10816","10818"
"103","10816","10836"
"104","10819","10820"
"105","10829","10830"
