"","V1","V2"
"1","5101","5102"
"2","5101","5103"
"3","5101","5104"
"4","5101","5105"
"5","5101","5106"
"6","5101","5107"
"7","5101","5108"
"8","5101","5109"
"9","5101","5110"
"10","5101","5111"
"11","5101","5112"
"12","5101","5113"
"13","5101","5114"
"14","5101","5115"
"15","5101","5116"
"16","5101","5121"
"17","5101","5122"
"18","5101","5123"
"19","5101","5140"
"20","5101","5141"
"21","5101","5142"
"22","5101","5143"
"23","5101","5144"
"24","5101","5145"
"25","5102","5103"
"26","5102","5104"
"27","5102","5105"
"28","5102","5106"
"29","5102","5107"
"30","5102","5108"
"31","5102","5109"
"32","5102","5110"
"33","5102","5111"
"34","5102","5112"
"35","5102","5113"
"36","5102","5114"
"37","5102","5115"
"38","5102","5116"
"39","5102","5121"
"40","5102","5122"
"41","5102","5123"
"42","5102","5144"
"43","5102","5145"
"44","5103","5104"
"45","5103","5105"
"46","5103","5106"
"47","5103","5107"
"48","5103","5108"
"49","5103","5109"
"50","5103","5110"
"51","5103","5111"
"52","5103","5112"
"53","5103","5113"
"54","5103","5114"
"55","5103","5115"
"56","5103","5116"
"57","5103","5121"
"58","5103","5122"
"59","5103","5145"
"60","5104","5105"
"61","5104","5106"
"62","5104","5109"
"63","5104","5111"
"64","5104","5112"
"65","5104","5113"
"66","5104","5114"
"67","5104","5115"
"68","5105","5109"
"69","5105","5111"
"70","5105","5112"
"71","5105","5113"
"72","5105","5114"
"73","5106","5107"
"74","5106","5108"
"75","5106","5109"
"76","5106","5110"
"77","5107","5108"
"78","5107","5109"
"79","5107","5110"
"80","5108","5109"
"81","5108","5110"
"82","5108","5111"
"83","5109","5110"
"84","5109","5111"
"85","5109","5112"
"86","5109","5113"
"87","5109","5114"
"88","5110","5111"
"89","5110","5112"
"90","5111","5112"
"91","5111","5113"
"92","5111","5114"
"93","5111","5115"
"94","5111","5116"
"95","5111","5145"
"96","5112","5113"
"97","5112","5114"
"98","5112","5145"
"99","5113","5114"
"100","5115","5116"
"101","5115","5121"
"102","5115","5122"
"103","5115","5123"
"104","5115","5140"
"105","5115","5141"
"106","5115","5142"
"107","5115","5143"
"108","5115","5144"
"109","5115","5145"
"110","5116","5121"
"111","5117","5118"
"112","5117","5119"
"113","5117","5120"
"114","5118","5119"
"115","5118","5120"
"116","5119","5120"
"117","5121","5122"
"118","5121","5123"
"119","5121","5140"
"120","5121","5141"
"121","5121","5142"
"122","5121","5143"
"123","5121","5144"
"124","5121","5145"
"125","5122","5123"
"126","5122","5140"
"127","5122","5141"
"128","5122","5142"
"129","5122","5143"
"130","5122","5145"
"131","5123","5140"
"132","5123","5141"
"133","5123","5142"
"134","5123","5143"
"135","5123","5144"
"136","5123","5145"
"137","5124","5125"
"138","5124","5126"
"139","5124","5128"
"140","5124","5129"
"141","5124","5136"
"142","5124","5138"
"143","5125","5129"
"144","5126","5127"
"145","5126","5128"
"146","5126","5133"
"147","5126","5134"
"148","5127","5128"
"149","5127","5133"
"150","5127","5134"
"151","5128","5133"
"152","5128","5134"
"153","5133","5134"
"154","5140","5141"
"155","5140","5142"
"156","5140","5143"
"157","5140","5144"
"158","5140","5145"
"159","5141","5142"
"160","5141","5143"
"161","5141","5144"
"162","5141","5145"
"163","5142","5143"
"164","5142","5144"
"165","5142","5145"
"166","5143","5144"
"167","5143","5145"
"168","5144","5145"
