"","V1","V2"
"1","10701","10702"
"2","10701","10703"
"3","10701","10704"
"4","10701","10705"
"5","10701","10706"
"6","10701","10707"
"7","10701","10708"
"8","10701","10709"
"9","10701","10710"
"10","10701","10711"
"11","10701","10712"
"12","10701","10713"
"13","10701","10714"
"14","10701","10715"
"15","10701","10716"
"16","10701","10717"
"17","10701","10718"
"18","10701","10721"
"19","10701","10725"
"20","10701","10731"
"21","10701","10735"
"22","10701","10738"
"23","10701","10745"
"24","10702","10703"
"25","10702","10704"
"26","10702","10705"
"27","10702","10706"
"28","10702","10707"
"29","10702","10708"
"30","10702","10709"
"31","10702","10710"
"32","10702","10711"
"33","10702","10712"
"34","10702","10713"
"35","10702","10715"
"36","10702","10716"
"37","10702","10721"
"38","10702","10731"
"39","10702","10741"
"40","10702","10742"
"41","10702","10745"
"42","10703","10704"
"43","10703","10705"
"44","10703","10706"
"45","10703","10707"
"46","10703","10708"
"47","10703","10709"
"48","10703","10710"
"49","10703","10711"
"50","10703","10712"
"51","10703","10713"
"52","10703","10745"
"53","10704","10705"
"54","10704","10706"
"55","10704","10707"
"56","10704","10708"
"57","10704","10709"
"58","10704","10710"
"59","10704","10711"
"60","10704","10712"
"61","10704","10713"
"62","10704","10745"
"63","10705","10706"
"64","10705","10707"
"65","10705","10708"
"66","10705","10709"
"67","10705","10710"
"68","10705","10711"
"69","10705","10712"
"70","10705","10713"
"71","10705","10745"
"72","10706","10707"
"73","10706","10708"
"74","10706","10709"
"75","10706","10710"
"76","10706","10711"
"77","10706","10712"
"78","10706","10713"
"79","10706","10745"
"80","10707","10708"
"81","10707","10709"
"82","10707","10710"
"83","10707","10711"
"84","10707","10712"
"85","10707","10713"
"86","10707","10715"
"87","10707","10745"
"88","10708","10709"
"89","10708","10710"
"90","10708","10711"
"91","10708","10712"
"92","10708","10713"
"93","10708","10715"
"94","10708","10745"
"95","10709","10710"
"96","10709","10711"
"97","10709","10712"
"98","10709","10713"
"99","10709","10745"
"100","10710","10711"
"101","10710","10712"
"102","10710","10713"
"103","10710","10714"
"104","10710","10715"
"105","10710","10719"
"106","10710","10745"
"107","10711","10712"
"108","10711","10713"
"109","10711","10745"
"110","10712","10713"
"111","10712","10715"
"112","10712","10745"
"113","10713","10745"
"114","10714","10725"
"115","10715","10745"
"116","10716","10717"
"117","10716","10731"
"118","10716","10732"
"119","10717","10731"
"120","10717","10732"
"121","10718","10719"
"122","10718","10735"
"123","10719","10721"
"124","10719","10735"
"125","10720","10721"
"126","10720","10722"
"127","10720","10723"
"128","10721","10722"
"129","10721","10723"
"130","10721","10727"
"131","10721","10734"
"132","10721","10737"
"133","10721","10739"
"134","10721","10741"
"135","10721","10742"
"136","10722","10723"
"137","10722","10727"
"138","10722","10734"
"139","10722","10737"
"140","10722","10741"
"141","10722","10742"
"142","10723","10727"
"143","10723","10734"
"144","10723","10737"
"145","10724","10725"
"146","10724","10741"
"147","10725","10726"
"148","10725","10741"
"149","10725","10742"
"150","10726","10741"
"151","10726","10742"
"152","10729","10730"
"153","10731","10732"
"154","10733","10741"
"155","10733","10742"
"156","10734","10737"
"157","10739","10740"
"158","10740","10743"
"159","10740","10744"
"160","10741","10742"
"161","10743","10744"
